length	gc
ENSG00000000003	8000	0.41
ENSG00000000419	23656	0.398
ENSG00000000457	40886	0.403
ENSG00000000460	190985	0.392
ENSG00000000971	95627	0.352
ENSG00000001036	17072	0.399
ENSG00000001084	47788	0.408
ENSG00000001167	29440	0.407
ENSG00000001460	58099	0.438
ENSG00000001461	57229	0.45
ENSG00000001497	22225	0.505
ENSG00000001561	16736	0.361
ENSG00000001617	33661	0.575
ENSG00000001629	155151	0.368
ENSG00000001630	67383	0.395
ENSG00000001631	47132	0.364
ENSG00000002016	77965	0.452
ENSG00000002330	14877	0.539
ENSG00000002549	30664	0.441
ENSG00000002586	NA	NA
ENSG00000002746	450741	0.421
ENSG00000002822	417156	0.556
ENSG00000002834	51912	0.537
ENSG00000002919	15195	0.482
ENSG00000002933	4355	0.561
ENSG00000003056	9401	0.424
ENSG00000003096	219528	0.366
ENSG00000003137	18625	0.598
ENSG00000003249	15050	0.593
ENSG00000003393	80910	0.381
ENSG00000003400	46509	0.423
ENSG00000003402	56535	0.444
ENSG00000003436	90262	0.35
ENSG00000003509	17530	0.397
ENSG00000003756	30057	0.444
ENSG00000003987	116735	0.403
ENSG00000003989	73481	0.401
ENSG00000004059	3354	0.564
ENSG00000004139	43379	0.512
ENSG00000004142	10945	0.5
ENSG00000004399	51527	0.583
ENSG00000004455	28972	0.444
ENSG00000004478	10480	0.516
ENSG00000004487	64244	0.392
ENSG00000004534	160008	0.441
ENSG00000004660	32721	0.57
ENSG00000004700	32760	0.376
ENSG00000004766	128783	0.348
ENSG00000004776	2464	0.64
ENSG00000004777	13308	0.613
ENSG00000004779	15305	0.487
ENSG00000004799	13117	0.363
ENSG00000004838	4620	0.585
ENSG00000004846	141393	0.376
ENSG00000004864	201928	0.398
ENSG00000004866	276695	0.391
ENSG00000004897	71355	0.387
ENSG00000004961	11799	0.43
ENSG00000004975	9203	0.551
ENSG00000005007	36296	0.552
ENSG00000005020	328171	0.369
ENSG00000005022	2997	0.526
ENSG00000005059	127518	0.411
ENSG00000005075	5834	0.551
ENSG00000005100	28149	0.458
ENSG00000005108	461763	0.355
ENSG00000005156	24572	0.477
ENSG00000005175	44130	0.366
ENSG00000005189	43224	0.399
ENSG00000005194	19283	0.443
ENSG00000005206	85581	0.593
ENSG00000005238	11776	0.543
ENSG00000005243	11620	0.523
ENSG00000005249	117079	0.386
ENSG00000005302	17595	0.428
ENSG00000005339	155066	0.449
ENSG00000005379	27565	0.578
ENSG00000005436	48280	0.367
ENSG00000005448	3998	0.543
ENSG00000005469	54162	0.375
ENSG00000005471	73659	0.384
ENSG00000005483	99896	0.374
ENSG00000005486	9928	0.511
ENSG00000005700	77493	0.361
ENSG00000005801	21296	0.395
ENSG00000005810	282386	0.357
ENSG00000005812	21943	0.384
ENSG00000005882	16633	0.565
ENSG00000005884	34510	0.527
ENSG00000005889	66611	0.405
ENSG00000005893	43202	0.386
ENSG00000005955	45540	0.422
ENSG00000006007	20436	0.401
ENSG00000006015	3653	0.602
ENSG00000006016	13626	0.599
ENSG00000006025	14415	0.578
ENSG00000006042	13740	0.489
ENSG00000006062	53927	0.5
ENSG00000006114	94587	0.408
ENSG00000006118	12719	0.587
ENSG00000006125	139155	0.397
ENSG00000006194	27660	0.481
ENSG00000006282	12795	0.571
ENSG00000006283	66404	0.568
ENSG00000006327	2071	0.655
ENSG00000006451	84572	0.397
ENSG00000006453	109466	0.468
ENSG00000006459	92196	0.391
ENSG00000006468	100195	0.363
ENSG00000006530	103132	0.396
ENSG00000006534	20696	0.584
ENSG00000006576	158713	0.377
ENSG00000006607	138593	0.456
ENSG00000006625	8221	0.405
ENSG00000006634	33313	0.367
ENSG00000006638	12328	0.558
ENSG00000006652	54060	0.393
ENSG00000006695	139278	0.385
ENSG00000006704	148801	0.527
ENSG00000006712	5566	0.525
ENSG00000006715	185258	0.381
